 -28    2   20   (number of answers: 1), answers: [-10.0]
   0    3    0   (number of answers: 1), answers: [0.0]
  14   28    0   (number of answers: 1), answers: [0.0]
   0    0infinite number of answers
  50   -6   (number of answers: 1), answers: [0.12]
  24   36   (number of answers: 1), answers: [-1.5]
   6   48   (number of answers: 1), answers: [-8.0]
   0  -18   (number of answers: 0), answers: []
  28  -60   (number of answers: 1), answers: [2.142857142857143]
 -20  -36   (number of answers: 1), answers: [-1.8]
  22   17   (number of answers: 1), answers: [-0.7727272727272727]
   0  -21   (number of answers: 0), answers: []
   0  -52   (number of answers: 0), answers: []
 -40    0    0    0  -54   (number of answers: 0), answers: []
   0    0  -10    0    0   (number of answers: 1), answers: [0.0]
 -64    0    0    0    0infinite number of answers
  10    0   (number of answers: 1), answers: [0.0]
 -27  -17   (number of answers: 1), answers: [-0.6296296296296297]
 -40    0    0    0  -52   (number of answers: 0), answers: []
  18    0   24    0   12   (number of answers: 0), answers: []
  16    0   40    0    0   (number of answers: 1), answers: [0.0]
   0  -30  -50   (number of answers: 1), answers: [-1.6666666666666667]
   0   26   -1   (number of answers: 1), answers: [0.038461538461538464]
  60   27  -16   (number of answers: 1), answers: [0.5925925925925926]
 -57    0   21   (number of answers: 0), answers: []
   0   14  -48   (number of answers: 1), answers: [3.4285714285714284]
 -84   96   44   (number of answers: 1), answers: [-0.4583333333333333]
  12  -30   (number of answers: 1), answers: [2.5]
  63   -9   (number of answers: 1), answers: [0.14285714285714285]
  26    0   (number of answers: 1), answers: [0.0]
 -11  -92   (number of answers: 1), answers: [-8.363636363636363]
  -9  -20   (number of answers: 1), answers: [-2.2222222222222223]
 -46  -50   (number of answers: 1), answers: [-1.0869565217391304]
 -75  -44   (number of answers: 1), answers: [-0.5866666666666667]
 -21   22   (number of answers: 1), answers: [1.0476190476190477]
 -21    0   (number of answers: 1), answers: [-0.0]
   0   18   (number of answers: 0), answers: []
 100  -34   (number of answers: 1), answers: [0.34]
  88  -36   (number of answers: 1), answers: [0.4090909090909091]
  28   21   (number of answers: 1), answers: [-0.75]
  50    0   (number of answers: 1), answers: [0.0]
  48    0    8    0   34   (number of answers: 0), answers: []
 -32    0   18    0    0   (number of answers: 1), answers: [0.0]
  32    0  -72    0  -12   (number of answers: 0), answers: []
  54    0   (number of answers: 1), answers: [0.0]
  17  -20   (number of answers: 1), answers: [1.1764705882352942]
  14   -6   -3   (number of answers: 1), answers: [-0.5]
 -21  -40   56   (number of answers: 1), answers: [1.4]
  -8  -32    0   (number of answers: 1), answers: [-0.0]
   2   51  -24   (number of answers: 1), answers: [0.47058823529411764]
 -14    0    0infinite number of answers
   0   20    8   (number of answers: 1), answers: [-0.4]
 -64  -23   (number of answers: 1), answers: [-0.359375]
   0   -4   (number of answers: 0), answers: []
   4    0   18    0    0   (number of answers: 1), answers: [0.0]
  22    0  -88    0   96   (number of answers: 0), answers: []
 -26    0  -51    0    0   (number of answers: 1), answers: [0.0]
  30    0   69    0  -76   (number of answers: 0), answers: []
  76    0   -9    0   28   (number of answers: 0), answers: []
  -2    0    0    0  -19   (number of answers: 0), answers: []
  11    0   -4    0  -17   (number of answers: 0), answers: []
  96    0  -12    0   25   (number of answers: 0), answers: []
  36    0  -12    0   80   (number of answers: 0), answers: []
 -42   27   (number of answers: 1), answers: [0.6428571428571429]
   6  -40   (number of answers: 1), answers: [6.666666666666667]
 -30    0   66    0  -16   (number of answers: 0), answers: []
  66    0   16    0   -8   (number of answers: 0), answers: []
  -6    0  -60    0   -4   (number of answers: 0), answers: []
   0    0infinite number of answers
  15  -24   (number of answers: 1), answers: [1.6]
 -38   -4    0   (number of answers: 1), answers: [-0.0]
  60   40  -22   (number of answers: 1), answers: [0.55]
 -21  -72   42   (number of answers: 1), answers: [0.5833333333333334]
  44    0  -60    0  -16   (number of answers: 0), answers: []
