   0  -21    8   (number of answers: 1), answers: [0.38095238095238093]
  -3   22  -18   (number of answers: 1), answers: [0.8181818181818182]
   6   24   44   (number of answers: 1), answers: [-1.8333333333333333]
  34    0   (number of answers: 1), answers: [0.0]
 -20  -18   (number of answers: 1), answers: [-0.9]
   0   -8  -36   (number of answers: 1), answers: [-4.5]
 -15   24    0   (number of answers: 1), answers: [0.0]
  16    0    0infinite number of answers
   0  -13   48   (number of answers: 1), answers: [3.6923076923076925]
   0  -32  -10   (number of answers: 1), answers: [-0.3125]
 -54  -12    0   (number of answers: 1), answers: [-0.0]
  44   21   (number of answers: 1), answers: [-0.4772727272727273]
 -48    3   (number of answers: 1), answers: [0.0625]
  96  -27   20   (number of answers: 1), answers: [0.7407407407407407]
 -33  -44  -38   (number of answers: 1), answers: [-0.8636363636363636]
   4   24   23   (number of answers: 1), answers: [-0.9583333333333334]
   0  -39   (number of answers: 0), answers: []
  24    5   (number of answers: 1), answers: [-0.20833333333333334]
 -48   22   (number of answers: 1), answers: [0.4583333333333333]
   0    8   (number of answers: 0), answers: []
  92  -48  -92   (number of answers: 1), answers: [-1.9166666666666667]
  28    0  -25   (number of answers: 0), answers: []
   3    0    0infinite number of answers
   0  -10   68   (number of answers: 1), answers: [6.8]
  92   -8  -24   (number of answers: 1), answers: [-3.0]
  14  -16    0   (number of answers: 1), answers: [-0.0]
   0    0infinite number of answers
   0   -8   (number of answers: 0), answers: []
  30   32    3   (number of answers: 1), answers: [-0.09375]
  34   -4  -24   (number of answers: 1), answers: [-6.0]
  18  -30  -40   (number of answers: 1), answers: [-1.3333333333333333]
 -18  -33   (number of answers: 1), answers: [-1.8333333333333333]
   8   13   (number of answers: 1), answers: [-1.625]
  -8  -39    6   (number of answers: 1), answers: [0.15384615384615385]
 -80   16    0   (number of answers: 1), answers: [0.0]
 -46   84   34   (number of answers: 1), answers: [-0.40476190476190477]
  20   28   51   (number of answers: 1), answers: [-1.8214285714285714]
   0  -68  -40   (number of answers: 1), answers: [-0.5882352941176471]
   0  -64  -15   (number of answers: 1), answers: [-0.234375]
  33    0  -66    0   60   (number of answers: 0), answers: []
  16    0   84    0  -36   (number of answers: 0), answers: []
  -2    0  -25    0    0   (number of answers: 1), answers: [0.0]
 -54    0   12    0  -32   (number of answers: 0), answers: []
 -46    0  -72    0   15   (number of answers: 0), answers: []
   0    0    0    0   17   (number of answers: 0), answers: []
 -44  -56   (number of answers: 1), answers: [-1.2727272727272727]
  17   72   (number of answers: 1), answers: [-4.235294117647059]
   0  -72   96   (number of answers: 1), answers: [1.3333333333333333]
 -32    0  -76   (number of answers: 0), answers: []
  66    4    0   (number of answers: 1), answers: [0.0]
 -60   36   15   (number of answers: 1), answers: [-0.4166666666666667]
  19  -66    0   (number of answers: 1), answers: [-0.0]
   0   96   92   (number of answers: 1), answers: [-0.9583333333333334]
 -32    0    0    0   60   (number of answers: 0), answers: []
   0    0  -25    0  -51   (number of answers: 0), answers: []
   0    0    0    0   46   (number of answers: 0), answers: []
 -21  -14   (number of answers: 1), answers: [-0.6666666666666666]
   0   26   (number of answers: 0), answers: []
 -56    0    0    0   60   (number of answers: 0), answers: []
 -16    0   76    0  -69   (number of answers: 0), answers: []
  56    0   66    0  -30   (number of answers: 0), answers: []
  18   32  100   (number of answers: 1), answers: [-3.125]
   0  -21   80   (number of answers: 1), answers: [3.8095238095238093]
  38    0  -16   (number of answers: 0), answers: []
 -20    0   (number of answers: 1), answers: [-0.0]
 -75   -8   (number of answers: 1), answers: [-0.10666666666666667]
  -3  -44  -39   (number of answers: 1), answers: [-0.8863636363636364]
  -6    0   36   (number of answers: 0), answers: []
  48    7  -34   (number of answers: 1), answers: [4.857142857142857]
 -24    0    0    0   96   (number of answers: 0), answers: []
   0    0  -16    0   42   (number of answers: 0), answers: []
 -12    0   13    0    0   (number of answers: 1), answers: [0.0]
  16    0  -12    0  -25   (number of answers: 0), answers: []
   0    0   -5    0   -6   (number of answers: 0), answers: []
   0    0   32    0  -40   (number of answers: 0), answers: []
  -8    7   (number of answers: 1), answers: [0.875]
  13  -18   (number of answers: 1), answers: [1.3846153846153846]
  44   42   (number of answers: 1), answers: [-0.9545454545454546]
   0    0infinite number of answers
